# Interpolated propeller performance at 30 N (required) and 11 N (target)
# SI units: Thrust=N, Power=W, Torque=Nm; Cp, Ct, FOM dimensionless; 
# Sorted by Power at required thrust (ascending)
# ---------------------------------------------------------------------------

     Propeller  RPM@30N  Thrust@30N (N)  Power@30N (W)  Torque@30N (Nm)     Cp@30N     Ct@30N    FOM@30N  Eff@30N (N/W)  RPM@11N  Thrust@11N (N)  Power@11N (W)  Torque@11N (Nm)     Cp@11N     Ct@11N    FOM@11N  Eff@11N (N/W)
         15x7E     7145         30.5000       435.3110           0.5788     0.0260     0.0830     0.7342         0.0705     4306              11       100.1860           0.2168     0.0266     0.0817     0.7006         0.1131
      155x12-4     4479         30.5000       436.6400           0.9098     0.0840     0.1777     0.7104         0.0721     2675              11       100.7010           0.3423     0.0888     0.1786     0.6787         0.1179
          15x8     6450         30.5000       439.7600           0.6437     0.0354     0.1015     0.7295         0.0705     3901              11       100.0080           0.2425     0.0364     0.1001     0.6936         0.1116
         15x8E     6859         30.5000       441.1050           0.6111     0.0298     0.0901     0.7247         0.0696     4139              11       100.2120           0.2285     0.0304     0.0889     0.6939         0.1119
         16x12     5272         30.5000       441.9180           0.7888     0.0469     0.1172     0.6825         0.0704     3167              11       100.9430           0.2960     0.0485     0.1164     0.6530         0.1130
         15x4E     8811         30.5000       447.7130           0.4836     0.0143     0.0546     0.7129         0.0685     5346              11       104.6310           0.1846     0.0147     0.0532     0.6642         0.1073
         15x4W     7821         30.5000       448.5620           0.5452     0.0204     0.0693     0.7125         0.0684     4738              11       105.2280           0.2095     0.0213     0.0677     0.6595         0.1067
       14x47SF     7219         30.5000       451.6640           0.5933     0.0368     0.1071     0.7597         0.0682     4348              11       100.9950           0.2161     0.0367     0.1055     0.7467         0.1126
         15x10     6151         30.5000       451.8710           0.6966     0.0422     0.1119     0.7082         0.0681     3691              11       103.8810           0.2616     0.0436     0.1108     0.6752         0.1103
       14x55MR     7851         30.5000       452.3240           0.5481     0.0288     0.0906     0.7560         0.0678     4738              11       102.4380           0.2037     0.0292     0.0892     0.7273         0.1098
         16x13     5226         30.5000       453.7190           0.8182     0.0495     0.1194     0.6648         0.0684     3139              11       103.2600           0.3066     0.0512     0.1187     0.6372         0.1101
        16x12E     5608         30.5000       455.1720           0.7643     0.0402     0.1036     0.6623         0.0684     3358              11       104.2490           0.2847     0.0413     0.1028     0.6374         0.1113
         15x11     6057         30.5000       462.3720           0.7268     0.0455     0.1156     0.6904         0.0662     3623              11       106.7830           0.2725     0.0470     0.1147     0.6595         0.1078
          14x6     7900         30.5000       463.0400           0.5583     0.0290     0.0896     0.7380         0.0661     4777              11       107.2400           0.2111     0.0299     0.0878     0.6963         0.1046
        15x10E     6488         30.5000       464.6790           0.6760     0.0367     0.1003     0.6914         0.0667     3918              11       104.4990           0.2521     0.0376     0.0994     0.6646         0.1067
         14x6E     8396         30.5000       465.1650           0.5254     0.0241     0.0791     0.7372         0.0662     5093              11       105.7120           0.1968     0.0246     0.0776     0.7023         0.1050
         14x7E     8001         30.5000       467.0920           0.5579     0.0283     0.0875     0.7300         0.0653     4831              11       106.8950           0.2084     0.0288     0.0860     0.6985         0.1046
         16x14     5186         30.5000       467.4240           0.8512     0.0523     0.1214     0.6441         0.0663     3114              11       106.3690           0.3184     0.0542     0.1208     0.6187         0.1063
          14x7     7506         30.5000       467.8580           0.5901     0.0338     0.0989     0.7336         0.0660     4529              11       107.4410           0.2222     0.0348     0.0973     0.6955         0.1056
  20x225EP(CD)     3318         30.5000       475.2410           1.3149     0.0639     0.1198     0.5169         0.0678     2011              11       103.3180           0.4863     0.0654     0.1195     0.5041         0.1073
         15x12     5987         30.5000       475.4250           0.7582     0.0486     0.1185     0.6699         0.0642     3574              11       110.1880           0.2839     0.0503     0.1177     0.6409         0.1050
          14x8     7201         30.5000       475.4620           0.6268     0.0391     0.1076     0.7206         0.0647     4337              11       109.4180           0.2353     0.0402     0.1061     0.6857         0.1037
         14x4W     8732         30.5000       475.8640           0.5182     0.0220     0.0732     0.7191         0.0645     5300              11       111.6930           0.1982     0.0227     0.0713     0.6680         0.1003
         14x5N     9443         30.5000       476.3200           0.4791     0.0174     0.0626     0.7189         0.0645     5752              11       111.9400           0.1835     0.0179     0.0607     0.6658         0.0996
      15x135-3     5206         30.5000       477.9590           0.8658     0.0730     0.1559     0.6726         0.0649     3126              11       109.3080           0.3255     0.0759     0.1551     0.6424         0.1036
       13x47SF     8154         30.5000       485.2180           0.5661     0.0407     0.1148     0.7625         0.0632     4934              11       106.8450           0.2057     0.0404     0.1131     0.7516         0.1037
   13x55MRF-RH     8822         30.5000       486.3990           0.5248     0.0316     0.0966     0.7569         0.0630     5331              11       110.4520           0.1947     0.0320     0.0948     0.7286         0.1017
        14x85E     7649         30.5000       488.0410           0.6045     0.0334     0.0953     0.7029         0.0632     4607              11       110.6860           0.2252     0.0341     0.0941     0.6749         0.1024
       13x55MR     8910         30.5000       489.7670           0.5238     0.0316     0.0963     0.7545         0.0625     5380              11       111.0200           0.1942     0.0319     0.0945     0.7272         0.1013
       13x45MR     9599         30.5000       490.2570           0.4852     0.0252     0.0828     0.7556         0.0627     5824              11       111.2490           0.1807     0.0255     0.0810     0.7237         0.1000
         14x10     6922         30.5000       496.1290           0.6827     0.0461     0.1168     0.6894         0.0617     4164              11       113.3750           0.2558     0.0476     0.1156     0.6593         0.0991
        13x55E     9432         30.5000       497.3450           0.5009     0.0269     0.0858     0.7446         0.0618     5716              11       113.2450           0.1871     0.0273     0.0839     0.7110         0.0987
  13x45EP(F2B)    10352         30.5000       500.2300           0.4592     0.0205     0.0712     0.7405         0.0613     6292              11       114.7750           0.1726     0.0208     0.0693     0.6998         0.0971
       13x45EP    10352         30.5000       500.2300           0.4592     0.0205     0.0712     0.7405         0.0613     6292              11       114.7750           0.1726     0.0208     0.0693     0.6998         0.0971
        14x10F     7005         30.5000       501.7120           0.6840     0.0477     0.1191     0.6880         0.0608     4207              11       113.8270           0.2538     0.0487     0.1181     0.6643         0.0991
