# Interpolated propeller performance at 32 N (required) and 12 N (target)
# SI units: Thrust=N, Power=W, Torque=Nm; Cp, Ct, FOM dimensionless; 
# Sorted by Power at required thrust (ascending)
# ---------------------------------------------------------------------------

     Propeller  RPM@32N  Thrust@32N (N)  Power@32N (W)  Torque@32N (Nm)     Cp@32N     Ct@32N    FOM@32N  Eff@32N (N/W)  RPM@12N  Thrust@12N (N)  Power@12N (W)  Torque@12N (Nm)     Cp@12N     Ct@12N    FOM@12N  Eff@12N (N/W)
         17x7E     6021              32       412.9350           0.6543     0.0225     0.0754     0.7342         0.0776     3767         12.5000       106.7180           0.2652     0.0230     0.0743     0.7009         0.1211
          17x6     6017              32       413.4850           0.6560     0.0226     0.0755     0.7332         0.0775     3769         12.5000       108.9350           0.2696     0.0234     0.0742     0.6883         0.1184
       18x12WE     4467              32       414.1910           0.8650     0.0396     0.1064     0.6997         0.0800     2790         12.5000       105.7510           0.3481     0.0406     0.1056     0.6752         0.1250
          17x8     5404              32       414.8310           0.7214     0.0306     0.0928     0.7382         0.0789     3379         12.5000       108.2420           0.2939     0.0316     0.0916     0.7011         0.1217
       17x10WE     5010              32       416.9310           0.7937     0.0394     0.1089     0.7271         0.0768     3128         12.5000       107.2470           0.3192     0.0403     0.1080     0.7020         0.1202
         18x12     4948              32       417.3760           0.8034     0.0302     0.0877     0.6843         0.0771     3093         12.5000       108.6050           0.3282     0.0314     0.0870     0.6510         0.1177
         17x8E     5731              32       417.6750           0.6877     0.0259     0.0827     0.7310         0.0779     3582         12.5000       108.0090           0.2780     0.0266     0.0816     0.7006         0.1216
        18x12E     4638              32       418.2700           0.8439     0.0359     0.0989     0.6914         0.0788     2911         12.5000       105.6650           0.3403     0.0368     0.0982     0.6669         0.1215
         17x6E     6362              32       418.5020           0.6209     0.0190     0.0671     0.7294         0.0777     4020         12.5000       107.0880           0.2529     0.0195     0.0660     0.6943         0.1171
         17x10     5054              32       419.1560           0.7883     0.0384     0.1068     0.7255         0.0768     3157         12.5000       108.8020           0.3201     0.0396     0.1058     0.6933         0.1189
         17x8N     5705              32       419.2400           0.6940     0.0261     0.0825     0.7259         0.0776     3568         12.5000       110.0100           0.2837     0.0270     0.0813     0.6858         0.1191
       16x55MR     6484              32       427.9850           0.6232     0.0245     0.0814     0.7554         0.0760     4085         12.5000       108.6070           0.2512     0.0250     0.0802     0.7272         0.1166
        17x10E     5364              32       430.2510           0.7539     0.0324     0.0942     0.7123         0.0761     3348         12.5000       110.8570           0.3039     0.0332     0.0933     0.6849         0.1188
        17x10N     5362              32       430.7760           0.7551     0.0320     0.0932     0.7090         0.0759     3349         12.5000       111.9000           0.3075     0.0332     0.0922     0.6740         0.1176
         17x4W     6497              32       434.5080           0.6312     0.0186     0.0644     0.7019         0.0748     4104         12.5000       114.1590           0.2625     0.0193     0.0630     0.6526         0.1110
         16x6E     6977              32       435.4970           0.5955     0.0203     0.0707     0.7377         0.0736     4373         12.5000       113.1700           0.2419     0.0209     0.0694     0.7017         0.1140
