# Propeller performance at 17 N required thrust
# Also evaluated at 8 N target thrust
# All units in SI (N, W, Nm, N/W)
# ------------------------------------------------------------

     Propeller  RPM at 17 N  Power at 17 N (W)  Torque at 17 N (Nm)  Efficiency at 17 N (N/W)  RPM at 8 N  Power at 8 N (W)  Torque at 8 N (Nm)  Efficiency at 8 N (N/W)
         14x7E         6007           199.2400               0.3167                    0.0854        4219           72.6600              0.1610                   0.1186
         15x12         4452           205.8300               0.4309                    0.0853        3136           73.9500              0.2197                   0.1173
      15x135-3         3891           203.0300               0.4933                    0.0851        2710           75.1500              0.2517                   0.1200
          14x8         5389           204.4500               0.3566                    0.0850        3795           73.9100              0.1822                   0.1169
       13x47SF         6117           204.1800               0.3166                    0.0839        4297           72.6200              0.1575                   0.1195
         14x4W         6567           206.9700               0.2977                    0.0833        4631           76.2700              0.1543                   0.1132
        14x85E         5731           207.8800               0.3427                    0.0831        4047           73.9500              0.1741                   0.1145
   13x55MRF-RH         6616           207.5600               0.2967                    0.0831        4658           74.7200              0.1501                   0.1157
         14x5N         7128           206.6300               0.2754                    0.0827        5047           76.2300              0.1432                   0.1107
       13x55MR         6680           209.2200               0.2960                    0.0824        4704           74.8900              0.1497                   0.1150
       13x45MR         7218           208.8500               0.2749                    0.0822        5098           75.0200              0.1395                   0.1130
         16x16         3853           213.2100               0.5203                    0.0816        2682           77.9000              0.2641                   0.1167
         14x10         5174           212.8500               0.3880                    0.0810        3623           77.3900              0.1978                   0.1137
        14x10F         5229           214.4700               0.3869                    0.0807        3665           77.2500              0.1957                   0.1137
        13x55E         7098           211.8100               0.2842                    0.0807        5017           76.2300              0.1447                   0.1104
        14x10E         5494           217.1500               0.3717                    0.0801        3873           77.5000              0.1884                   0.1106
         13x7F         6455           215.9600               0.3163                    0.0800        4540           78.0100              0.1603                   0.1111
        13x65E         6843           214.5200               0.2982                    0.0798        4822           77.1200              0.1515                   0.1107
   13x65E(F2B)         6832           214.8000               0.2984                    0.0798        4813           77.3800              0.1515                   0.1105
  13x45EP(F2B)         7800           214.6600               0.2615                    0.0798        5499           78.2900              0.1337                   0.1095
       13x45EP         7800           214.6600               0.2615                    0.0798        5499           78.2900              0.1337                   0.1095
          13x7         6697           218.2600               0.3086                    0.0789        4718           79.5400              0.1583                   0.1079
          13x6         7030           216.4500               0.2933                    0.0787        4967           78.5500              0.1508                   0.1073
         14x11         5104           218.6300               0.4057                    0.0785        3567           80.0800              0.2065                   0.1100
         13x4E         8189           218.0500               0.2528                    0.0784        5787           79.6300              0.1297                   0.1068
       12x58SF         7347           219.5200               0.2828                    0.0784        5181           76.9500              0.1404                   0.1110
       12x47SF         6937           217.7900               0.2997                    0.0783        4888           76.8600              0.1489                   0.1106
         13x4W         7402           219.8600               0.2817                    0.0782        5231           80.5800              0.1456                   0.1060
        12x6SF         6332           221.6100               0.3307                    0.0780        4449           78.6400              0.1641                   0.1107
         135x9         6088           219.5500               0.3432                    0.0779        4274           80.3000              0.1757                   0.1076
         13x8E         6452           222.6500               0.3258                    0.0776        4537           80.1200              0.1652                   0.1082
          13x8         6502           222.8600               0.3239                    0.0775        4574           80.7700              0.1658                   0.1072
        135x10         5705           223.3100               0.3690                    0.0774        4029           79.6900              0.1885                   0.1059
       12x38SF         7514           223.1600               0.2812                    0.0772        5298           78.8900              0.1401                   0.1088
         125x6         7057           222.3100               0.3004                    0.0767        4987           80.0600              0.1538                   0.1051
       12x7E-3         6323           225.5600               0.3366                    0.0765        4443           81.2200              0.1706                   0.1071
          13x4         8111           223.1300               0.2620                    0.0765        5732           82.4800              0.1359                   0.1032
       12x55MR         7358           225.3700               0.2898                    0.0763        5190           80.4900              0.1462                   0.1060
       12x45MR         7952           223.2200               0.2678                    0.0763        5596           80.7100              0.1355                   0.1063
          13x9         5961           224.5100               0.3593                    0.0759        4186           81.2900              0.1830                   0.1058
         14x12         5064           225.4100               0.4227                    0.0759        3534           82.3500              0.2149                   0.1073
   12x45MRF-RH         8039           224.4100               0.2664                    0.0759        5661           80.8400              0.1348                   0.1058
        14x12N         5216           231.2700               0.4177                    0.0747        3653           83.9800              0.2126                   0.1044
        12x8SF         5828           231.7300               0.3773                    0.0743        4102           81.0800              0.1872                   0.1053
   12x6EP(F2B)         7854           230.8400               0.2795                    0.0741        5529           83.3200              0.1418                   0.1031
         12x6E         7859           231.1400               0.2796                    0.0740        5533           83.4900              0.1418                   0.1029
         13x10         5846           232.5400               0.3767                    0.0739        4114           83.3700              0.1917                   0.1024
          12x6         7529           233.5000               0.2940                    0.0737        5311           84.6900              0.1503                   0.1012
        14x12E         5372           236.9000               0.4147                    0.0734        3775           84.5400              0.2098                   0.1027
        13x10F         5963           232.8000               0.3724                    0.0732        4184           83.8300              0.1883                   0.1026
         14x13         5002           233.1200               0.4450                    0.0729        3485           85.5300              0.2259                   0.1036
          12x5         8477           235.2500               0.2631                    0.0729        6010           85.5200              0.1354                   0.0983
          12x7         7225           236.5100               0.3103                    0.0725        5101           85.4400              0.1583                   0.0992
       11x46SF         9036           235.9100               0.2491                    0.0722        6370           83.5300              0.1236                   0.1023
        13x10E         6199           238.7500               0.3646                    0.0720        4350           86.0300              0.1844                   0.1009
       11x47SF         8022           237.1300               0.2824                    0.0718        5643           84.2800              0.1402                   0.1018
          12x4         9164           238.0900               0.2475                    0.0717        6482           88.0800              0.1280                   0.0968
         13x11         5742           241.1500               0.3966                    0.0716        4050           85.8600              0.2017                   0.0986
        14x13N         5185           241.1800               0.4387                    0.0716        3627           87.5100              0.2229                   0.1007
        14x135         4989           238.1900               0.4553                    0.0715        3476           87.4600              0.2309                   0.1014
       11x38SF         8638           240.5300               0.2645                    0.0713        6105           84.7600              0.1315                   0.0999
        125x10         6261           243.7500               0.3686                    0.0707        4395           88.4500              0.1875                   0.0981
         115x6         8101           241.8200               0.2845                    0.0706        5711           88.0800              0.1454                   0.0969
         12x8E         7274           243.4600               0.3170                    0.0706        5129           87.1100              0.1605                   0.0976
          12x8         6997           241.4100               0.3290                    0.0704        4929           87.1700              0.1676                   0.0971
       11x45MR         9122           243.2900               0.2542                    0.0701        6431           87.4900              0.1283                   0.0976
         12x9W         6418           246.4700               0.3626                    0.0701        4510           88.9300              0.1840                   0.0976
         115x4         9119           243.5500               0.2543                    0.0700        6442           89.4200              0.1308                   0.0953
         14x14         4976           243.3500               0.4667                    0.0700        3467           89.3800              0.2366                   0.0993
       11x7E-3         7495           246.0600               0.3105                    0.0699        5282           88.5500              0.1573                   0.0967
       11x55MR         8494           247.1200               0.2760                    0.0695        6007           87.6400              0.1391                   0.0959
        12x85F         7121           246.5100               0.3295                    0.0694        5023           87.9300              0.1666                   0.0958
          12x9         6853           248.3600               0.3443                    0.0690        4822           89.3500              0.1752                   0.0956
       11x45EP         9816           248.7500               0.2413                    0.0686        6948           89.2700              0.1226                   0.0943
        11x7SF         7024           249.0500               0.3378                    0.0684        4945           87.1100              0.1675                   0.0971
        14x14N         5165           252.4900               0.4613                    0.0683        3611           91.3000              0.2341                   0.0964
        11x6-4         7265           252.0600               0.3288                    0.0681        5127           91.6800              0.1690                   0.0926
        11x55E         9146           250.7400               0.2607                    0.0681        6449           90.0100              0.1321                   0.0948
       135x135         5436           256.6800               0.4434                    0.0677        3823           91.8800              0.2250                   0.0939
        12x10W         6359           255.5200               0.3794                    0.0676        4466           91.9400              0.1924                   0.0945
          11x5         9209           253.0600               0.2612                    0.0675        6503           91.8500              0.1335                   0.0928
          11x6         8712           255.3000               0.2781                    0.0671        6155           91.7800              0.1419                   0.0924
          11x4         9827           254.5900               0.2465                    0.0670        6965           92.0600              0.1266                   0.0914
         12x10         6771           257.6300               0.3607                    0.0667        4760           92.4500              0.1833                   0.0928
         11x7E         8533           259.8700               0.2891                    0.0660        6029           92.5400              0.1462                   0.0910
          11x7         8356           260.4800               0.2961                    0.0659        5902           93.7500              0.1508                   0.0902
        135x14         5496           264.9400               0.4533                    0.0656        3869           94.5700              0.2299                   0.0907
        14x14E         5327           265.0400               0.4674                    0.0655        3737           94.4800              0.2356                   0.0923
       10x46SF        10586           262.5400               0.2356                    0.0652        7477           92.0100              0.1166                   0.0925
       10x47SF         9347           262.9900               0.2672                    0.0651        6591           92.4200              0.1324                   0.0924
       10x38SF        10068           262.4600               0.2484                    0.0649        7113           92.1600              0.1234                   0.0917
          11x3        11018           262.3800               0.2273                    0.0648        7815           96.8600              0.1178                   0.0872
        11x9-4         6466           267.4100               0.3904                    0.0646        4544           96.9500              0.1993                   0.0893
        12x10E         7036           264.1200               0.3577                    0.0645        4954           94.0900              0.1807                   0.0897
