Propeller,RPM@32N,Thrust@32N (N),Power@32N (W),Torque@32N (Nm),Cp@32N,Ct@32N,FOM@32N,Eff@32N (N/W),RPM@12N,Thrust@12N (N),Power@12N (W),Torque@12N (Nm),Cp@12N,Ct@12N,FOM@12N,Eff@12N (N/W)
20x10,4212,32,363.511,0.808,0.02464,0.07873,0.71561,0.090283,2613,12.5,96.357,0.3311,0.02576,0.07795,0.67431,0.140909
20x12WE,3737,32,364.906,0.9102,0.03511,0.09957,0.71406,0.091103,2314,12.5,95.942,0.3669,0.03609,0.09886,0.68722,0.144548
20x12,4067,32,368.283,0.8575,0.02818,0.08493,0.70194,0.087787,2506,12.5,98.665,0.3504,0.02954,0.08435,0.6622,0.13985
205x135EPN,3589,32,369.922,0.9514,0.03501,0.09729,0.69224,0.091067,2231,12.5,96.519,0.3838,0.03607,0.09677,0.66632,0.141867
19x8E,4763,32,371.228,0.734,0.02265,0.07568,0.73445,0.088066,3006,12.5,93.949,0.2982,0.0232,0.0748,0.70312,0.133292
20x13E,3803,32,373.807,0.9212,0.0344,0.0965,0.69504,0.08821,2349,12.5,98.917,0.3714,0.03545,0.09584,0.66803,0.140368
205x14EPN,3616,32,374.22,0.9561,0.03469,0.09595,0.68363,0.089815,2246,12.5,97.711,0.3858,0.03575,0.0954,0.65766,0.1407
205x14E,3613,32,374.61,0.9582,0.03479,0.09611,0.68259,0.089727,2244,12.5,97.644,0.3865,0.03586,0.0955,0.65738,0.140941
19x8W,4497,32,375.38,0.7792,0.02685,0.08455,0.73044,0.088104,2819,12.5,97.197,0.3187,0.02785,0.08353,0.6913,0.134941
19x11,4182,32,378.664,0.8499,0.03395,0.09813,0.72254,0.0865,2590,12.5,99.97,0.3458,0.03532,0.09734,0.68646,0.136575
19x10E,4414,32,379.192,0.8005,0.02862,0.08775,0.72497,0.087332,2756,12.5,97.219,0.3235,0.02944,0.08693,0.69516,0.13712
20x14,3986,32,381.006,0.9119,0.03131,0.0887,0.67375,0.084186,2448,12.5,102.571,0.3717,0.03277,0.08823,0.63889,0.134639
19x12WE,4077,32,383.143,0.8894,0.03758,0.10375,0.70977,0.084542,2513,12.5,100.896,0.3579,0.03864,0.10301,0.6833,0.137639
18x55MR,5381,32,385.155,0.6729,0.02126,0.07363,0.74857,0.084991,3364,12.5,99.654,0.2724,0.02185,0.07271,0.71627,0.132484
20x15(WCAR-T6),3645,32,390.2,0.9909,0.04005,0.10436,0.67168,0.085866,2260,12.5,102.2,0.4016,0.04154,0.10388,0.64277,0.134918
19x12E,4217,32,390.422,0.867,0.03406,0.09643,0.70217,0.084175,2612,12.5,101.422,0.3496,0.03503,0.09574,0.6747,0.13476
18x8W,4942,32,390.643,0.7521,0.02842,0.08786,0.73201,0.082419,3097,12.5,101.629,0.3071,0.02933,0.08675,0.69432,0.125924
20x15C,3924,32,391.051,0.9443,0.03326,0.09118,0.65971,0.082849,2413,12.5,104.673,0.3843,0.03482,0.09078,0.62699,0.132286
18x8E,5205,32,392.065,0.7105,0.02408,0.07884,0.73425,0.083002,3253,12.5,101.562,0.2878,0.02475,0.0779,0.70207,0.129009
181x10,4499,32,392.702,0.8148,0.03575,0.10255,0.73298,0.084268,2817,12.5,100.957,0.3313,0.03697,0.10161,0.69977,0.129928
20x15E,3695,32,392.797,0.9869,0.03885,0.10168,0.66604,0.084997,2289,12.5,102.77,0.3974,0.03998,0.10119,0.64206,0.134784
18x10E,4857,32,399.036,0.7767,0.03024,0.09063,0.72013,0.081358,3050,12.5,101.034,0.3139,0.03098,0.08982,0.69285,0.125507
18x6W,5500,32,400.511,0.6844,0.0207,0.07045,0.71951,0.081645,3445,12.5,105.576,0.2819,0.02159,0.06928,0.67389,0.124485
18x8,5382,32,400.687,0.6994,0.02212,0.07357,0.71973,0.081624,3367,12.5,105.555,0.2871,0.02304,0.07255,0.67729,0.124475
