# Interpolated propeller performance at 35 N (required) and 14 N (target)
# SI units: Thrust=N, Power=W, Torque=Nm; Cp, Ct, FOM dimensionless; 
# Sorted by Power at required thrust (ascending)
# ---------------------------------------------------------------------------

     Propeller  RPM@35N  Thrust@35N (N)  Power@35N (W)  Torque@35N (Nm)     Cp@35N     Ct@35N    FOM@35N  Eff@35N (N/W)  RPM@14N  Thrust@14N (N)  Power@14N (W)  Torque@14N (Nm)     Cp@14N     Ct@14N    FOM@14N  Eff@14N (N/W)
        20x10W     4010              35       400.3920           0.9527     0.0323     0.0959     0.7341         0.0876     2498              14       110.9320           0.3959     0.0335     0.0950     0.6975         0.1396
       20x10PN     4098              35       401.6260           0.9256     0.0299     0.0914     0.7365         0.0884     2564              14       110.2610           0.3854     0.0311     0.0905     0.6992         0.1396
       21x13WE     3506              35       402.4620           1.0548     0.0360     0.1011     0.7131         0.0919     2210              14       107.9980           0.4347     0.0369     0.1005     0.6878         0.1416
      205x12WE     3606              35       404.5780           1.0353     0.0378     0.1055     0.7245         0.0910     2267              14       109.1990           0.4261     0.0387     0.1047     0.6999         0.1416
        21x13E     3642              35       404.9910           1.0287     0.0326     0.0940     0.7056         0.0906     2287              14       109.7760           0.4244     0.0335     0.0934     0.6789         0.1411
         20x8E     4595              35       405.7650           0.8253     0.0211     0.0722     0.7339         0.0890     2930              14       106.4350           0.3431     0.0217     0.0714     0.7018         0.1343
      20x105PN     4126              35       405.9610           0.9268     0.0295     0.0900     0.7308         0.0878     2583              14       111.0930           0.3861     0.0306     0.0892     0.6928         0.1376
         20x8W     4307              35       407.0850           0.8817     0.0256     0.0822     0.7329         0.0887     2720              14       110.1350           0.3685     0.0266     0.0812     0.6936         0.1359
     21x135EPN     3591              35       408.9450           1.0511     0.0343     0.0965     0.6993         0.0900     2258              14       110.2970           0.4334     0.0352     0.0959     0.6739         0.1401
        20x10E     4266              35       409.4660           0.8975     0.0267     0.0839     0.7275         0.0881     2686              14       109.7300           0.3711     0.0274     0.0830     0.6975         0.1376
