Propeller,MAX RPM,RPM@30N,Thrust@30N (N),Power@30N (W),Torque@30N (Nm),Cp@30N,Ct@30N,FOM@30N,Eff@30N (N/W),RPM@11N,Thrust@11N (N),Power@11N (W),Torque@11N (Nm),Cp@11N,Ct@11N,FOM@11N,Eff@11N (N/W)
18x14,4861.111111,4752,30.5,418.356,0.8282,0.03362,0.09003,0.64102,0.074546,2849,11,95.522,0.3127,0.03516,0.08957,0.60933,0.120068
18x55MR,4861.111111,5259,30.5,358.576,0.6423,0.02127,0.07356,0.74711,0.086727,3167,11,82.1,0.2412,0.02193,0.07265,0.71235,0.139139
18x6W,4861.111111,5374,30.5,373.873,0.6538,0.02073,0.07036,0.71735,0.08333,3239,11,87.811,0.2503,0.02173,0.0692,0.66794,0.130663
18x8,4861.111111,5261,30.5,373.351,0.6681,0.02215,0.07348,0.71791,0.083235,3171,11,87.406,0.2549,0.02318,0.07247,0.67179,0.13031
18x8E,4861.111111,5091,30.5,364.078,0.6783,0.02409,0.07876,0.733,0.084533,3070,11,83.153,0.2549,0.02486,0.07783,0.69841,0.134794
18x8W,4861.111111,4816,30.5,366.257,0.7181,0.02846,0.08777,0.72987,0.084744,2905,11,84.359,0.2722,0.02954,0.08666,0.68849,0.133707
19x10E,4605.263158,4313,30.5,353.223,0.7642,0.02864,0.08769,0.72376,0.089147,2570,11,82.101,0.286,0.02963,0.08687,0.68995,0.147416
19x11,4605.263158,4091,30.5,351.33,0.8116,0.03397,0.09806,0.72128,0.088013,2424,11,84.006,0.3063,0.03556,0.09727,0.68098,0.144798
19x12E,4605.263158,4124,30.5,362.299,0.8276,0.03408,0.09637,0.70124,0.085715,2444,11,85.179,0.3091,0.03521,0.09568,0.67065,0.143396
19x12WE,4605.263158,3989,30.5,354.945,0.8489,0.03761,0.10369,0.70885,0.086094,2356,11,84.171,0.3165,0.03881,0.10294,0.67954,0.145806
19x8E,4605.263158,4646,30.5,347.501,0.7007,0.02267,0.07562,0.73269,0.090292,2792,11,79.88,0.2637,0.02341,0.07474,0.69635,0.145093
19x8W,4605.263158,4392,30.5,350.328,0.7441,0.02688,0.08447,0.72866,0.08998,2626,11,82.346,0.2822,0.02812,0.08345,0.68414,0.145395
205x105PN,4268.292683,3596,30.5,325.923,0.837,0.0307,0.09242,0.73051,0.098281,2159,11,75.926,0.3172,0.03209,0.09158,0.69024,0.15593
205x105WPN,4268.292683,3488,30.5,326.075,0.8583,0.03336,0.09804,0.73327,0.098755,2104,11,74.61,0.3248,0.03477,0.09716,0.69531,0.155915
205x10PN,4268.292683,3659,30.5,325.04,0.823,0.0292,0.08946,0.73083,0.098032,2191,11,76.59,0.312,0.03057,0.0886,0.68949,0.155643
205x12WE,4268.292683,3365,30.5,332.338,0.9056,0.03785,0.10536,0.72111,0.097041,2039,11,73.966,0.3385,0.03886,0.10462,0.69487,0.152541
205x135EPN,4268.292683,3502,30.5,345.738,0.9081,0.03505,0.09725,0.69102,0.093258,2108,11,78.899,0.3398,0.03619,0.09673,0.66349,0.147632
205x14E,4268.292683,3525,30.5,350.294,0.9145,0.03484,0.09606,0.68135,0.091911,2120,11,79.789,0.3421,0.03598,0.09545,0.65464,0.146892
